game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score
2025-12-05,1630559,Austin Reaves,LAL,2025-26,140.12542976733184,138.90799165355395,-16.0421052631579
2019-02-08,203076,Anthony Davis,NOP,2018-19,151.2135329735307,126.833838065929,-15.164761904761907
2019-02-09,203076,Anthony Davis,NOP,2018-19,144.23157098302804,130.89693731751714,-15.157674418604651
2024-01-22,203954,Joel Embiid,PHI,2023-24,164.834611098755,164.26004581389788,-14.920000000000002
2022-12-02,1626164,Devin Booker,PHX,2022-23,137.8535808082762,139.57875818337143,-14.826363636363633
2024-02-27,1628378,Donovan Mitchell,CLE,2023-24,137.80300989257057,134.3062779244976,-13.723478260869566
2019-11-12,203081,Damian Lillard,POR,2019-20,150.94425438375765,147.9650989514288,-13.16545454545454
2023-12-07,1630169,Tyrese Haliburton,IND,2023-24,153.19466085470074,152.35762215969788,-12.793333333333333
2024-12-15,1629029,Luka Dončić,DAL,2024-25,149.35322203374082,150.91963413700392,-12.785000000000004
2023-12-11,1630169,Tyrese Haliburton,IND,2023-24,152.76000526426745,147.902574100319,-12.690526315789473
2020-01-15,201935,James Harden,HOU,2019-20,153.90810371031205,152.6477143698653,-12.688205128205128
2023-12-29,1628368,De'Aaron Fox,SAC,2023-24,138.91761605113916,140.66007537557692,-12.657500000000002
2019-01-18,203076,Anthony Davis,NOP,2018-19,163.75839260598602,159.56866133285737,-12.63609756097561
2020-01-14,201935,James Harden,HOU,2019-20,157.0484566776709,156.34874342435643,-12.61105263157895
2024-01-02,1628368,De'Aaron Fox,SAC,2023-24,138.60515811550556,136.6603611055088,-12.486153846153847
2024-01-25,203954,Joel Embiid,PHI,2023-24,165.4798945683255,162.19214979136237,-12.436363636363637
2018-10-31,201939,Stephen Curry,GSW,2018-19,124.74669671211706,139.3396673578314,-12.360000000000003
2021-03-19,203897,Zach LaVine,CHI,2020-21,131.34748458237812,131.45751456677837,-12.282500000000002
2025-02-21,1627734,Domantas Sabonis,SAC,2024-25,131.42856920467835,133.4199474088639,-12.210188679245281
2025-11-15,203507,Giannis Antetokounmpo,MIL,2025-26,163.72770519283821,161.82874455745218,-12.209999999999997
2019-11-10,203081,Damian Lillard,POR,2019-20,150.95310668873898,148.34093353229,-12.079999999999995
2024-01-19,1626179,Terry Rozier,CHA,2023-24,122.39046509578604,120.01703947249834,-12.07071428571429
2021-01-16,203468,CJ McCollum,POR,2020-21,129.77512452828802,124.71365415013751,-12.035384615384611
2025-12-04,1630559,Austin Reaves,LAL,2025-26,138.86950318719786,137.83387221927663,-11.906666666666666
2022-11-04,203507,Giannis Antetokounmpo,MIL,2022-23,160.3847207540496,156.7029161060871,-11.7925
2019-01-16,203076,Anthony Davis,NOP,2018-19,164.62889378086683,163.34211212082974,-11.779999999999998
2024-02-14,1628378,Donovan Mitchell,CLE,2023-24,142.64030980577388,141.68082376800606,-11.763181818181819
2021-01-14,203468,CJ McCollum,POR,2020-21,131.7984993735965,129.27415392534746,-11.735
2023-12-31,1628368,De'Aaron Fox,SAC,2023-24,138.83932717091102,137.2228736364587,-11.688000000000004
2023-12-13,1628969,Mikal Bridges,BKN,2023-24,124.0647495483472,120.26955271455506,-11.6095652173913
2019-02-12,203076,Anthony Davis,NOP,2018-19,136.61447608304155,125.35307009321085,-11.486363636363638
2021-04-02,203081,Damian Lillard,POR,2020-21,143.07216239290616,145.55840361929745,-11.462173913043477
2024-02-25,1628378,Donovan Mitchell,CLE,2023-24,139.63635170974212,133.42799515990018,-11.455555555555556
2022-11-30,1628369,Jayson Tatum,BOS,2022-23,143.59088029720422,144.29133342013546,-11.308571428571428
2021-01-31,201142,Kevin Durant,BKN,2020-21,147.19779967589756,150.1685100418936,-11.1875
2024-01-17,1626179,Terry Rozier,CHA,2023-24,123.65954957707035,121.73440598335112,-11.122222222222224
2021-11-08,203944,Julius Randle,NYK,2021-22,128.61221463550066,127.75941582643792,-11.121818181818181
2026-01-27,1630166,Deni Avdija,POR,2025-26,125.22054410924925,120.06475373581992,-11.075813953488375
2025-01-27,203076,Anthony Davis,LAL,2024-25,146.17922115977197,149.11944087677037,-11.06829268292683
2020-01-08,201935,James Harden,HOU,2019-20,164.55721453351265,163.43694175681654,-11.06285714285714
2024-02-25,1630169,Tyrese Haliburton,IND,2023-24,127.34613972401519,132.67698730178313,-11.055555555555559
2022-11-25,201939,Stephen Curry,GSW,2022-23,147.48261496345205,144.19726388988255,-11.052222222222222
2024-02-28,1628378,Donovan Mitchell,CLE,2023-24,135.5044604035751,131.15475963066814,-11.036170212765956
2020-01-18,201935,James Harden,HOU,2019-20,152.0092355078669,153.48089215300536,-11.020000000000003
2024-01-06,1630169,Tyrese Haliburton,IND,2023-24,146.03622434017956,142.01152518449328,-10.998750000000003
2021-03-21,203897,Zach LaVine,CHI,2020-21,129.89563605789942,127.04816455486132,-10.981951219512197
2024-03-13,1628378,Donovan Mitchell,CLE,2023-24,130.08337841718026,121.7922622768772,-10.963750000000001
2024-01-30,1630169,Tyrese Haliburton,IND,2023-24,134.15569904732226,127.94809976770014,-10.90571428571429
2024-03-11,201142,Kevin Durant,PHX,2023-24,140.9630967852343,145.46075420338303,-10.905172413793105
2024-02-22,1630169,Tyrese Haliburton,IND,2023-24,125.4415161122242,132.25619887308352,-10.866363636363637
2023-12-11,1628969,Mikal Bridges,BKN,2023-24,124.55959804255284,122.15085507505307,-10.859999999999996
2021-01-11,203468,CJ McCollum,POR,2020-21,131.99750063927996,131.07163973842825,-10.780000000000001
2022-11-22,1628368,De'Aaron Fox,SAC,2022-23,131.77139268610972,132.53886651248175,-10.766666666666671
2023-01-03,203507,Giannis Antetokounmpo,MIL,2022-23,153.08388819105457,154.66697910581206,-10.763225806451612
2025-12-18,1629029,Luka Dončić,LAL,2025-26,154.93549624701498,153.80516668610528,-10.7
2025-12-07,1630559,Austin Reaves,LAL,2025-26,137.88747386894252,132.68778326256458,-10.690000000000003
2019-11-08,203081,Damian Lillard,POR,2019-20,150.56774959231745,148.55184155656684,-10.662222222222217
2020-01-03,201935,James Harden,HOU,2019-20,164.21902259610042,164.2086453731451,-10.631176470588237
2021-01-13,203468,CJ McCollum,POR,2020-21,132.41180571740287,131.62855658514798,-10.62727272727273
2024-12-16,202710,Jimmy Butler III,MIA,2024-25,128.84788372704523,129.50191079177827,-10.624210526315794
2021-12-03,203076,Anthony Davis,LAL,2021-22,133.99400698355507,133.06953517897517,-10.623478260869561
2025-02-26,1627734,Domantas Sabonis,SAC,2024-25,127.76097237485337,127.31200860173448,-10.61272727272727
2019-11-11,1626156,D'Angelo Russell,GSW,2019-20,127.45240756542539,125.82355493087394,-10.602500000000003
2019-01-07,201942,DeMar DeRozan,SAS,2018-19,123.04264736951936,123.90643478314576,-10.521463414634148
2026-02-01,1629029,Luka Dončić,LAL,2025-26,155.48024445728151,152.907869010009,-10.480000000000008
2024-12-23,1629029,Luka Dončić,DAL,2024-25,149.61530654008513,149.6618069488049,-10.476190476190474
2021-03-22,203897,Zach LaVine,CHI,2020-21,128.62011216934275,125.63978001392024,-10.435238095238095
2025-01-25,1630163,LaMelo Ball,CHA,2024-25,126.04211077569755,125.24167214850718,-10.419999999999996
2023-01-14,1628378,Donovan Mitchell,CLE,2022-23,130.218680569643,127.30983823517003,-10.391794871794872
2025-01-20,1629027,Trae Young,ATL,2024-25,135.78336433006245,132.69697973846584,-10.370256410256413
2021-04-03,203081,Damian Lillard,POR,2020-21,141.83306022253595,141.48151697185256,-10.36510638297872
2019-11-06,203083,Andre Drummond,DET,2019-20,138.84539490210886,136.16768540538527,-10.362222222222222
2025-11-29,203507,Giannis Antetokounmpo,MIL,2025-26,151.75048231579134,148.31654047133355,-10.339999999999993
2022-02-12,1627783,Pascal Siakam,TOR,2021-22,130.8094219319396,129.81121567077642,-10.33904761904762
2024-02-12,1629027,Trae Young,ATL,2023-24,136.21470248369985,134.80690864218406,-10.335102040816325
2020-02-26,201935,James Harden,HOU,2019-20,155.1379953641306,154.6679151928508,-10.323636363636364
2025-02-24,1627734,Domantas Sabonis,SAC,2024-25,129.82795364636226,129.33535686759302,-10.314074074074071
2024-01-03,1628368,De'Aaron Fox,SAC,2023-24,136.66953829398193,132.12113998595964,-10.27925925925926
2021-02-02,201142,Kevin Durant,BKN,2020-21,147.5432897989618,148.6968022452517,-10.23294117647059
2023-11-24,1630162,Anthony Edwards,MIN,2023-24,127.00208632660205,128.9963712556014,-10.22666666666667
2022-11-29,201939,Stephen Curry,GSW,2022-23,144.55069218037139,141.43163617574825,-10.225
2025-12-07,1630532,Franz Wagner,ORL,2025-26,123.33814377102891,120.96640495295512,-10.20916666666667
2025-01-18,1629027,Trae Young,ATL,2024-25,136.63326410553483,135.64128247208748,-10.193684210526321
2022-11-28,1628368,De'Aaron Fox,SAC,2022-23,126.33704187346798,121.24090287661156,-10.191111111111113
2024-01-19,1630169,Tyrese Haliburton,IND,2023-24,138.94466604903462,134.22380900271247,-10.169411764705888
2024-02-23,201939,Stephen Curry,GSW,2023-24,136.3494080092223,133.314319384104,-10.126923076923083
2025-02-21,1628368,De'Aaron Fox,SAS,2024-25,126.58542328947503,129.43417373672847,-10.119615384615384
