game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score,forward_mean_game_score
2020-01-18,203081,Damian Lillard,POR,2019-20,137.3409121472995,137.51959210462798,20.22714285714286,41.42
2020-01-20,203081,Damian Lillard,POR,2019-20,140.04447224651318,140.77805379720132,18.85441860465117,40.68000000000001
2022-12-21,1629029,Luka Dončić,DAL,2022-23,146.154889146439,145.94742042485964,15.802758620689659,41.92
2020-01-17,203081,Damian Lillard,POR,2019-20,136.8653053999655,137.86573396144354,15.624878048780495,36.82000000000001
2020-01-15,203081,Damian Lillard,POR,2019-20,136.23438478021043,136.2365396458008,15.34,36.42
2025-12-20,202695,Kawhi Leonard,LAC,2025-26,126.32551339703957,127.59764987173249,15.127777777777776,35.0
2022-02-26,202681,Kyrie Irving,BKN,2021-22,128.35907084199664,127.3176147223121,14.740000000000002,32.660000000000004
2022-02-12,202681,Kyrie Irving,BKN,2021-22,128.5618380560674,129.9830481498643,14.677142857142858,31.82
2020-01-11,201566,Russell Westbrook,HOU,2019-20,123.73681295670356,123.84261925054814,14.553939393939395,30.96
2019-03-21,1626164,Devin Booker,PHX,2018-19,128.98830319668824,125.06519546487628,14.511379310344829,31.52
2020-01-23,203081,Damian Lillard,POR,2019-20,143.046386969815,143.3375859560091,14.344999999999995,36.519999999999996
2024-11-11,1628368,De'Aaron Fox,SAC,2024-25,128.2975175738263,126.61058466814362,14.23272727272727,30.859999999999996
2022-03-06,202681,Kyrie Irving,BKN,2021-22,128.33446155584312,126.79939384954189,14.232499999999998,31.919999999999998
2025-12-18,202695,Kawhi Leonard,LAC,2025-26,124.84568749209362,124.19674210097835,14.152941176470588,33.6
2019-03-18,1626164,Devin Booker,PHX,2018-19,130.21467137934727,127.5839548617443,14.057192982456144,31.080000000000002
2023-12-06,202695,Kawhi Leonard,LAC,2023-24,127.2567205477844,126.11710624208033,13.91,31.040000000000003
2023-01-22,203081,Damian Lillard,POR,2022-23,141.1309161480424,137.2326276876914,13.81941176470589,35.94000000000001
2023-01-15,202681,Kyrie Irving,BKN,2022-23,128.96695375888737,126.8099559269435,13.787499999999998,32.4
2019-01-09,201935,James Harden,HOU,2018-19,160.68694171565895,156.5248105460576,13.661081081081086,38.480000000000004
2019-11-08,203078,Bradley Beal,WAS,2019-20,132.08226039094268,126.77727859587938,13.440000000000005,29.840000000000003
2022-12-23,1629029,Luka Dončić,DAL,2022-23,147.0288112352046,149.2181502112296,13.406666666666666,39.96
2022-11-10,203954,Joel Embiid,PHI,2022-23,146.4971350855533,142.2413246898794,13.330000000000002,33.08
2024-11-09,1641705,Victor Wembanyama,SAS,2024-25,122.48798842817897,120.60227652262856,13.169999999999998,28.48
2023-01-19,202681,Kyrie Irving,BKN,2022-23,128.9228015706246,129.8563165032296,13.124848484848485,31.939999999999998
2019-01-13,201935,James Harden,HOU,2018-19,161.9949961071079,160.9304678572404,13.085641025641028,38.46
